episode,max fitness score,portion_of_none_noisy_selection,portion_of_noisy_reduction
0,0.11177352830896137,0.0,1.0
1,0.014885639295088238,0.0,1.0
2,0.02020997375328082,0.0,1.0
3,0.011548556430446166,0.0,1.0
4,0.022047244094488216,0.0,1.0
5,0.01953505811773537,0.0,1.0
6,0.017247844019497416,0.0,1.0
7,0.021372328458942658,0.0,1.0
8,0.029396325459317474,0.0,1.0
9,0.02512185976752901,0.0,1.0
10,0.014510686164229458,0.0,1.0
11,0.01492313460817396,0.0,1.0
12,0.014660667416572903,0.0,1.0
13,0.014773153355830515,0.0,1.0
14,0.016722909636295413,0.0,1.0
15,0.010048743907011715,0.0,1.0
16,0.024409448818897617,0.0,1.0
17,0.011511061117360444,0.0,1.0
18,0.006899137607799033,0.0,1.0
19,0.005924259467566584,0.0,1.0
20,0.012035995500562557,0.0,1.0
21,0.015298087739032629,0.0,1.0
22,0.012935883014623228,0.0,1.0
23,0.020697412823396988,0.0,1.0
24,0.012298462692163392,0.0,1.0
25,0.012785901762279783,0.0,1.0
26,0.00854893138357704,0.0,1.0
27,0.008661417322834652,0.0,1.0
28,0.012260967379077559,0.0,1.0
29,0.012373453318335281,0.0,1.0
30,0.011848518935132946,0.0,1.0
31,0.0036370453693287397,0.0,1.0
32,0.006261717285339197,0.0,1.0
33,0.011511061117360222,0.0,1.0
34,0.006599175103112032,0.0,1.0
35,0.012973378327708951,0.0,1.0
36,0.007574053243344592,0.0,1.0
37,0.012485939257592782,0.0,1.0
38,0.0074240719910011466,0.0,1.0
39,0.011848518935132946,0.0,1.0
40,0.01492313460817385,0.0,1.0
41,0.01451068616422957,0.0,1.0
42,0.013048368953880729,0.0,1.0
43,0.00667416572928381,0.0,1.0
44,0.006561679790026198,0.0,1.0
45,0.00952380952380949,0.0,1.0
46,0.011811023622047223,0.0,1.0
47,0.007011623547056645,0.0,1.0
48,0.013873265841769733,0.0,1.0
49,0.006486689163854531,0.0,1.0
50,0.0052118485189351915,0.0,1.0
51,0.012523434570678726,0.0,1.0
52,0.005661792275965638,0.0,1.0
53,0.011136107986501664,0.0,1.0
54,0.007499062617172925,0.0,1.0
55,0.013123359580052507,0.0,1.0
56,0.00824896887889015,0.0,1.0
57,0.011661042369703889,0.0,1.0
58,0.01462317210348707,0.0,1.0
59,0.01218597675290578,0.0,1.0
60,0.006336707911511086,0.0,1.0
61,0.013723284589426399,0.0,1.0
62,0.004349456317960243,0.0,1.0
63,0.007836520434945649,0.0,1.0
64,0.012598425196850394,0.0,1.0
65,0.0114735658042745,0.0,1.0
66,0.007611548556430425,0.0,1.0
67,0.009448818897637712,0.0,1.0
68,0.01844769403824531,0.0,1.0
69,0.002062242219722621,0.0,1.0
70,0.008548931383577152,0.0,1.0
71,0.0047994000749906895,0.0,1.0
72,0.0069366329208848665,0.0,1.0
73,0.012148481439820058,0.0,1.0
74,0.007536557930258647,0.0,1.0
75,0.004836895388076412,0.0,1.0
76,0.008998875140607487,0.0,1.0
77,0.003112110986126626,0.0,1.0
78,0.010648668916385495,0.0,1.0
79,0.0093363329583801,0.0,1.0
80,0.016272965879265078,0.0,1.0
81,0.011811023622047223,0.0,1.0
82,0.009561304836895435,0.0,1.0
83,0.00764904386951637,0.0,1.0
84,0.013273340832395952,0.0,1.0
85,0.0047994000749906895,0.0,1.0
86,0.011511061117360333,0.0,1.0
87,0.010873640794900608,0.0,1.0
88,0.0092238470191226,0.0,1.0
89,0.0069366329208847555,0.0,1.0
90,0.010161229846269215,0.0,1.0
91,0.007236595425571868,0.0,1.0
92,0.015035620547431572,0.0,1.0
93,0.01218597675290578,0.0,1.0
94,0.006824146981627255,0.0,1.0
95,0.007049118860142589,0.0,1.0
96,0.009711286089238769,0.0,1.0
