episode,timestep,reward,portion_of_none_noisy_selection,portion_of_noisy_reduction
1,2000,0.1288,0.0,1.0
3,4000,0.1092,0.0,1.0
5,6000,0.1015,0.0,1.0
7,8000,0.0996,0.0,1.0
9,10000,0.0597,0.0,1.0
11,12000,0.0433,0.0,1.0
13,14000,0.0439,0.0,1.0
15,16000,0.0273,0.0,1.0
17,18000,0.0222,0.0,1.0
19,20000,0.0311,0.0,1.0
21,22000,0.0149,0.0,1.0
23,24000,0.0117,0.0,1.0
25,26000,0.0016,0.0,1.0
27,28000,0.0117,0.0,1.0
29,30000,0.0139,0.0,1.0
31,32000,0.02,0.0,1.0
33,34000,0.0012,0.0,1.0
35,36000,0.0192,0.0,1.0
37,38000,0.0159,0.0,1.0
39,40000,-0.0021,0.0,1.0
41,42000,0.0082,0.0,1.0
43,44000,0.0051,0.0,1.0
45,46000,0.0098,0.0,1.0
47,48000,0.0085,0.0,1.0
49,50000,0.0072,0.0,1.0
51,52000,-0.0066,0.0,1.0
53,54000,-0.0,0.0,1.0
55,56000,-0.0019,0.0,1.0
57,58000,0.0059,0.0,1.0
59,60000,0.0075,0.0,1.0
61,62000,-0.0007,0.0,1.0
63,64000,0.0007,0.0,1.0
65,66000,0.008,0.0,1.0
67,68000,0.0065,0.0,1.0
69,70000,0.0026,0.0,1.0
71,72000,0.0045,0.0,1.0
73,74000,0.0059,0.0,1.0
75,76000,0.0018,0.0,1.0
77,78000,-0.0001,0.0,1.0
79,80000,-0.0047,0.0,1.0
81,82000,0.0047,0.0,1.0
83,84000,-0.0057,0.0,1.0
85,86000,0.0131,0.0,1.0
87,88000,0.0069,0.0,1.0
89,90000,-0.0043,0.0,1.0
91,92000,-0.0078,0.0,1.0
93,94000,-0.0005,0.0,1.0
95,96000,0.0017,0.0,1.0
97,98000,0.0037,0.0,1.0
99,100000,-0.002,0.0,1.0
101,102000,0.0007,0.0,1.0
103,104000,-0.0038,0.0,1.0
105,106000,0.0013,0.0,1.0
107,108000,-0.0022,0.0,1.0
109,110000,0.0013,0.0,1.0
111,112000,-0.0031,0.0,1.0
113,114000,0.0054,0.0,1.0
115,116000,0.0013,0.0,1.0
117,118000,0.0012,0.0,1.0
119,120000,0.0091,0.0,1.0
121,122000,0.006,0.0,1.0
123,124000,-0.0029,0.0,1.0
125,126000,-0.0058,0.0,1.0
127,128000,-0.0127,0.0,1.0
129,130000,0.0027,0.0,1.0
131,132000,-0.0018,0.0,1.0
133,134000,0.0051,0.0,1.0
135,136000,-0.0001,0.0,1.0
137,138000,0.0054,0.0,1.0
139,140000,0.0029,0.0,1.0
141,142000,0.003,0.0,1.0
143,144000,0.0038,0.0,1.0
145,146000,-0.0085,0.0,1.0
147,148000,0.0004,0.0,1.0
149,150000,-0.0048,0.0,1.0
151,152000,0.0029,0.0,1.0
153,154000,-0.0041,0.0,1.0
155,156000,-0.0117,0.0,1.0
157,158000,0.0065,0.0,1.0
159,160000,0.0013,0.0,1.0
161,162000,0.0049,0.0,1.0
163,164000,0.0079,0.0,1.0
165,166000,0.0026,0.0,1.0
167,168000,0.0037,0.0,1.0
169,170000,0.0024,0.0,1.0
171,172000,-0.0036,0.0,1.0
173,174000,-0.003,0.0,1.0
175,176000,0.0006,0.0,1.0
177,178000,0.0008,0.0,1.0
179,180000,0.0013,0.0,1.0
181,182000,-0.0004,0.0,1.0
183,184000,0.0107,0.0,1.0
185,186000,-0.0039,0.0,1.0
187,188000,-0.0057,0.0,1.0
189,190000,0.0071,0.0,1.0
191,192000,0.0024,0.0,1.0
193,194000,-0.0098,0.0,1.0
195,196000,0.004,0.0,1.0
197,198000,0.0,0.0,1.0
199,200000,0.0015,0.0,1.0
201,202000,-0.005,0.0,1.0
203,204000,-0.0097,0.0,1.0
205,206000,-0.0072,0.0,1.0
207,208000,0.007,0.0,1.0
209,210000,0.002,0.0,1.0
211,212000,0.0011,0.0,1.0
213,214000,-0.0061,0.0,1.0
215,216000,0.0015,0.0,1.0
217,218000,0.0041,0.0,1.0
219,220000,0.0027,0.0,1.0
221,222000,0.0061,0.0,1.0
223,224000,0.0019,0.0,1.0
225,226000,-0.0011,0.0,1.0
227,228000,0.0025,0.0,1.0
229,230000,0.005,0.0,1.0
231,232000,0.0017,0.0,1.0
233,234000,-0.0007,0.0,1.0
235,236000,-0.009,0.0,1.0
237,238000,0.0004,0.0,1.0
239,240000,-0.0019,0.0,1.0
241,242000,-0.0035,0.0,1.0
243,244000,-0.0057,0.0,1.0
245,246000,0.0029,0.0,1.0
247,248000,-0.0029,0.0,1.0
249,250000,0.0007,0.0,1.0
251,252000,0.0103,0.0,1.0
253,254000,-0.0078,0.0,1.0
255,256000,0.0072,0.0,1.0
257,258000,0.0068,0.0,1.0
259,260000,0.007,0.0,1.0
261,262000,-0.0135,0.0,1.0
263,264000,-0.0044,0.0,1.0
265,266000,0.0008,0.0,1.0
267,268000,0.0059,0.0,1.0
269,270000,0.0052,0.0,1.0
271,272000,0.0063,0.0,1.0
273,274000,0.0014,0.0,1.0
275,276000,-0.0043,0.0,1.0
277,278000,-0.0094,0.0,1.0
279,280000,-0.0072,0.0,1.0
281,282000,-0.0002,0.0,1.0
283,284000,0.0009,0.0,1.0
285,286000,0.0059,0.0,1.0
287,288000,0.0019,0.0,1.0
289,290000,0.007,0.0,1.0
291,292000,-0.0015,0.0,1.0
293,294000,0.0047,0.0,1.0
295,296000,-0.0008,0.0,1.0
297,298000,-0.0067,0.0,1.0
299,300000,-0.0042,0.0,1.0
301,302000,-0.0007,0.0,1.0
303,304000,0.0048,0.0,1.0
305,306000,-0.007,0.0,1.0
307,308000,0.0006,0.0,1.0
309,310000,-0.0013,0.0,1.0
311,312000,-0.0057,0.0,1.0
313,314000,0.0083,0.0,1.0
315,316000,0.003,0.0,1.0
317,318000,0.0,0.0,1.0
319,320000,-0.0019,0.0,1.0
321,322000,0.0031,0.0,1.0
323,324000,-0.001,0.0,1.0
325,326000,-0.0012,0.0,1.0
327,328000,-0.0089,0.0,1.0
329,330000,0.0088,0.0,1.0
331,332000,0.005,0.0,1.0
333,334000,0.0031,0.0,1.0
335,336000,-0.0097,0.0,1.0
337,338000,0.0032,0.0,1.0
339,340000,0.0007,0.0,1.0
341,342000,0.0039,0.0,1.0
343,344000,-0.0018,0.0,1.0
345,346000,0.0058,0.0,1.0
347,348000,-0.0012,0.0,1.0
349,350000,-0.0026,0.0,1.0
351,352000,-0.0021,0.0,1.0
353,354000,-0.0026,0.0,1.0
355,356000,-0.0005,0.0,1.0
357,358000,0.0039,0.0,1.0
359,360000,-0.0009,0.0,1.0
361,362000,0.0011,0.0,1.0
363,364000,-0.007,0.0,1.0
365,366000,0.0011,0.0,1.0
367,368000,0.0052,0.0,1.0
369,370000,0.0021,0.0,1.0
371,372000,0.0002,0.0,1.0
373,374000,-0.0032,0.0,1.0
375,376000,0.0015,0.0,1.0
377,378000,-0.0055,0.0,1.0
379,380000,0.0046,0.0,1.0
381,382000,0.0055,0.0,1.0
383,384000,-0.003,0.0,1.0
385,386000,-0.0008,0.0,1.0
387,388000,-0.002,0.0,1.0
389,390000,-0.0041,0.0,1.0
391,392000,0.0056,0.0,1.0
393,394000,0.0076,0.0,1.0
395,396000,-0.0005,0.0,1.0
397,398000,-0.0022,0.0,1.0
399,400000,-0.0022,0.0,1.0
401,402000,-0.0034,0.0,1.0
403,404000,-0.0047,0.0,1.0
405,406000,0.0013,0.0,1.0
407,408000,0.0028,0.0,1.0
409,410000,-0.0028,0.0,1.0
411,412000,-0.0069,0.0,1.0
413,414000,0.0058,0.0,1.0
415,416000,-0.0052,0.0,1.0
417,418000,-0.0016,0.0,1.0
419,420000,0.0057,0.0,1.0
421,422000,-0.0008,0.0,1.0
423,424000,0.0058,0.0,1.0
425,426000,0.0033,0.0,1.0
427,428000,0.003,0.0,1.0
429,430000,-0.0004,0.0,1.0
431,432000,-0.0025,0.0,1.0
433,434000,-0.0032,0.0,1.0
435,436000,-0.0042,0.0,1.0
437,438000,0.0089,0.0,1.0
439,440000,-0.0012,0.0,1.0
441,442000,0.0032,0.0,1.0
443,444000,-0.0008,0.0,1.0
445,446000,0.0032,0.0,1.0
447,448000,-0.0014,0.0,1.0
449,450000,-0.005,0.0,1.0
451,452000,-0.0064,0.0,1.0
453,454000,-0.0039,0.0,1.0
455,456000,-0.0043,0.0,1.0
457,458000,0.0085,0.0,1.0
459,460000,-0.0026,0.0,1.0
461,462000,0.0035,0.0,1.0
463,464000,0.0006,0.0,1.0
465,466000,0.0007,0.0,1.0
467,468000,-0.0037,0.0,1.0
469,470000,0.005,0.0,1.0
471,472000,-0.0002,0.0,1.0
473,474000,0.0023,0.0,1.0
475,476000,-0.0015,0.0,1.0
477,478000,-0.0023,0.0,1.0
479,480000,0.0041,0.0,1.0
481,482000,-0.0013,0.0,1.0
483,484000,-0.0078,0.0,1.0
485,486000,0.0021,0.0,1.0
487,488000,0.0029,0.0,1.0
489,490000,0.0083,0.0,1.0
491,492000,0.0027,0.0,1.0
493,494000,-0.0069,0.0,1.0
495,496000,-0.0035,0.0,1.0
497,498000,0.0054,0.0,1.0
499,500000,0.007,0.0,1.0
